Nhóm nghĩa loại,Chủ đề lớn (TV),Chủ đề con (TV),
,,"Thành ngữ về lông, tóc",一毛不拔     三毛七孔     不拔一毛     不擒二毛     不毛之地     乍毛变色     九牛一毛     以毛相马     伐毛换髓     伐毛洗髓     众毛攒裘     众毛飞骨     信外轻毛     兔角龟毛     凤毛济美     凤毛鸡胆     凤毛麟角     凤毛龙甲     刮毛龟背     千里鹅毛     名纸生毛     吹毛利刃     吹毛取瑕     吹毛数睫     吹毛求瑕     吹毛求疵     吹毛求瘢     吹毛洗垢     吹毛索垢     吹毛索疵     吹毛索瘢     块儿八毛     多如牛毛     寒毛卓竖     属毛离里     屯毛不辨     德輶如毛     戴角披毛     批毛求疵     披毛带角     披毛戴角     披毛求瑕     披毛求疵     披毛索靥     披毛索黡     拔毛济世     拔毛连茹     挑毛剔刺     挑毛拣刺     挦毛捣鬓     摇羽毛扇     摇鹅毛扇     无毛大虫     晰毛辨发     死轻鸿毛     毛举细事     毛举细务     毛举细故     毛举缕析     毛发不爽     毛发丝粟     毛发之功     毛发倒竖     毛发尽竖     毛发悚然     毛发悚立     毛发森竖     毛发皆竖     毛发耸然     毛头小子     毛头毛脑     毛手毛脚     毛森骨立     毛毛楞楞     毛毛细雨     毛毛腾腾     毛热火辣     毛羽未丰     毛羽零落     毛羽鳞鬣     毛遂堕井     毛遂自荐     毛里拖毡     毛骨悚然     毛骨森竦     毛骨竦然     毛骨耸然     毡上拖毛     毫毛不犯     没毛大虫     泰山鸿毛     洗髓伐毛     火烧眉毛     爱惜羽毛     爱毛反裘     牛之一毛     牛毛细雨     略知皮毛     管城毛颖     羽毛丰满     羽毛未丰     肤不生毛     腹背之毛     自惜羽毛     茧丝牛毛     茹毛饮血     蚕丝牛毛     蛇毛马角     见骥一毛     谨毛失貌     践土食毛     轻于鸿毛     轻如鸿毛     轻若鸿毛     鉴毛辨色     附肤落毛     雁过拔毛     雁过拨毛     雪鬓霜毛     颊上三毛     颠毛种种     食毛践土     饮血茹毛     马毛猬磔     马毛蝟磔     马瘦毛长     骐骥一毛     骨寒毛竖     鳞集毛萃     鸡毛蒜皮     鸿毛泰山     鸿毛泰岱     鹅毛大雪     鹰击毛挚     麟凤一毛     麟角凤毛     黄毛丫头     龟毛兔角
,,Thành ngữ về cơ bắp,丰肌弱骨     丰肌秀骨     冰肌玉骨     冰肌雪肠     冰肌雪肤     刻肌刻骨     劲骨丰肌     寒风侵肌     擘肌分理     攘肌及骨     沦浃肌髓     沦肌浃髓     浃沦肌髓     浃髓沦肌     玉骨冰肌     肌劈理解     肌无完肤     肌肉玉雪     脸黄肌瘦     铭肌镂骨     镂骨铭肌     面黄肌瘦     香肌玉体
,,Thành ngữ về da,体无完肤     冰肌雪肤     凶喘肤汗     切肤之痛     剥床以肤     剥床及肤     剥肤之痛     剥肤及髓     剥肤椎髓     剥肤锤髓     剥肤锥髓     堕指裂肤     山肤水豢     擢筋剥肤     末学肤受     柔肤弱体     椎肤剥体     椎肤剥髓     汗流浃肤     浃髓沦肤     炙肤皲足     皮肤之见     肌无完肤     肤不生毛     肤受之愬     肤受之言     肤受之诉     肤如凝脂     肤寸之地     肤寸而合     肤末支离     肤浅末学     肤皮潦草     肤粟股栗     肤见謭识     肤见谫识     胸喘肤汗     身体发肤     身无完肤     铭肤镂骨     附肤落毛     陈言肤词     雪肤花貌     鸡肤鹤发     鹤骨鸡肤
,"Thành ngữ về cảm xúc, tâm trạng",Thành ngữ về niềm hân hoan,"一嚬一笑     一悲一喜     乐嗟苦咄     乐极悲生     乐极生悲     亲痛仇快     人莫予毒     冁然而笑     利灾乐祸     受宠若惊     含笑九泉     哭丧着脸     喜不自胜     喜出望外     喜怒无常     喜眉笑眼     喜笑颜开     喜行于色     大喜若狂     大喜过望     宜嗔宜喜     幸灾乐祸     开眉展眼     得意忘形     心悦诚服     心痒难挠     心花怒放     忽忽不乐     怡情悦性     怡然自乐     怡然自得     怫然不悦     悦目娱心     惊喜交集     惊喜欲狂     手舞足蹈     扬眉吐气     抑郁寡欢     抚掌大笑     无精打彩     横眉吐气     欢呼雀跃     欢天喜地     欢欣若狂     欢欣鼓舞     欣喜若狂     皆大欢喜     眉开眼笑     眉欢眼笑     眉花眼笑     眉飞眼笑     眼开眉展     眼笑眉飞     笑逐颜开     谈笑风生     近悦远来     酒酣耳热     闻过则喜
乘兴而来
春风得意
春风满面
大快人心
大喜过望
甘心情愿
欢声雷动
欢声如雷
欢天喜地
欢欣鼓舞
皆大欢喜
举国若狂
乐不思蜀
乐此不疲
乐而忘返
乐以忘忧
满面春风
满心欢喜
其乐融融
其乐无穷
人心大快
喜不自胜
喜出望外
喜从天降
喜气洋洋
喜形于色
心花怒放
欣喜若狂
兴高采烈
兴致勃勃
沾沾自喜
"
,,Thành ngữ về hưng phấn,哗世取名     回光反照     回光返照     忘乎其形     忘乎所以     忘其所以     惊喜欲狂     春风得意     欢呼鼓舞     眉欢眼笑     眉花眼笑     眉飞色舞     神采飞扬     豪情逸致     酒酣耳熟
,,Thành ngữ về sự thư thái,一室生春     不欢而散     乐业安居     和颜悦色     哭丧着脸     如释重负     娱心悦目     安土乐业     安家乐业     安居乐业     安心乐业     安生乐业     开眉展眼     心存芥蒂     心宽体胖     心广体胖     心悦诚服     心旷神怡     怡志养神     怡性养神     怡情悦性     怡然自得     怫然不悦     愀然不乐     愀然无乐     春风满面     欢聚一堂     消愁释愦     满面春风     爽心悦目     眉开眼笑     神头鬼脸     神怿气愉     若释重负     说来话长     赏心悦目     走马看花     走马观花     陶情适性
,,Thành ngữ về cười,"一嚬一笑     一悲一喜     乐嗟苦咄     乐极悲生     乐极生悲     亲痛仇快     人莫予毒     冁然而笑     利灾乐祸     受宠若惊     含笑九泉     哭丧着脸     喜不自胜     喜出望外     喜怒无常     喜眉笑眼     喜笑颜开     喜行于色     大喜若狂     大喜过望     宜嗔宜喜     幸灾乐祸     开眉展眼     得意忘形     心悦诚服     心痒难挠     心花怒放     忽忽不乐     怡情悦性     怡然自乐     怡然自得     怫然不悦     悦目娱心     惊喜交集     惊喜欲狂     手舞足蹈     扬眉吐气     抑郁寡欢     抚掌大笑     无精打彩     横眉吐气     欢呼雀跃     欢天喜地     欢欣若狂     欢欣鼓舞     欣喜若狂     皆大欢喜     眉开眼笑     眉欢眼笑     眉花眼笑     眉飞眼笑     眼开眉展     眼笑眉飞     笑逐颜开     谈笑风生     近悦远来     酒酣耳热     闻过则喜
哄堂大笑
捧腹大笑
破涕为笑
千金顾笑
千金买笑
千金一笑
忍俊不禁
莞尔而笑
喜笑颜开
笑容可掬
笑逐颜开
嫣然一笑
一颦一笑
一笑千金
"
,,Thành ngữ về khóc,"号咷大哭     号啕大哭     哭丧着脸     哭哭啼啼     哭天喊地     哭天抹泪     哭笑不得     啼啼哭哭     啼天哭地     干啼湿哭     抱头大哭     抱头痛哭     昼吟宵哭     牛衣夜哭     狼号鬼哭     猫哭老鼠     痛哭流涕     神号鬼哭     神嚎鬼哭     神愁鬼哭     秦庭之哭     穷途之哭     行号巷哭     街号巷哭     西台痛哭     见哭兴悲     长歌当哭     鬼哭天愁     鬼哭狼嗥     鬼哭狼嚎     鬼哭神号     鬼哭神嚎     鬼哭神惊     鬼哭神愁     鬼哭粟飞     鸟哭猿啼
长歌当哭
夺眶而出
嚎啕大哭
嚎啕痛哭
哭天喊地
老泪横流
老泪纵横
泪如泉涌
泪如雨下
泣不成声
泣下沾襟
热泪盈眶
潸然泪下
声泪俱下
涕泗滂沱
痛哭流涕
言谈举止
"
,,Thành ngữ về phẫn nộ,东怒西怨     东怨西怒     人怨天怒     人怨神怒     众怒难任     众怒难犯     冲冠发怒     冲冠怒发     勃然大怒     发怒冲冠     发怒穿冠     喜怒哀乐     喜怒无常     嘻笑怒骂     天怒人怨     嬉笑怒骂     室怒市色     心花怒发     心花怒放     怒不可遏     怒发冲冠     怒形于色     怒气冲冲     怒气冲天     怒气填胸     怒火中烧     怒火冲天     怒猊渴骥     怒目切齿     怒目横眉     怒目而视     息怒停瞋     恼羞变怒     恼羞成怒     惊涛怒浪     惊风怒涛     戟指怒目     敢怒敢言     春笋怒发     横眉怒目     横眉怒视     狂风怒号     疾言怒色     直眉怒目     神怒人怨     积羞成怒     老羞成怒     藏怒宿怨     赫然而怒     迁怒于人     金刚怒目     雷嗔电怒     雷霆之怒     鲜衣怒马     鲜车怒马     鲸波怒浪
,,Thành ngữ về nỗi đau lòng,五内俱崩     人琴俱亡     伤心惨目     哀痛欲绝     大放悲声     如丧考妣     悲痛欲绝     抱头大哭     抱头痛哭     抱璞泣血     泣下如雨     泣不成声     泪如泉滴     泪干肠断     疾首痛心     痛哭流涕     痛心入骨     痛心拔脑     目断魂销     肝肠寸断     若丧考妣     触目伤怀     透骨酸心     额蹙心痛 
,,Thành ngữ về nỗi bi thương,一悲一喜     丧明之痛     乐极则悲     乐极悲生     生乐极生     悲人琴亡     兔死狐悲     凄入肝脾     凄然泪下     剖肝泣血     司马青衫     吞声忍泪     呕心抽肠     呼天抢地     哀毁骨立     哀而不伤     怆地呼天     悲不自胜     悲从中来     悲喜交集     悲欢离合     情凄意切     愁眉泪眼     抢地呼天     捶胸跌脚     捶胸跌足     摧心剖肝     泣下沾襟     泣不可仰     泣数行下     泣涕如雨     泪下如雨     泪流满面     涕泗横流     涕泗纵横     热泪盈眶     物伤其类     狐兔之悲     狐死兔泣     痛入骨髓     穷途之哭     美人迟暮     老泪纵横     芝焚蕙叹     见哭兴悲     触物伤情     触目崩心     触目恸心     踣地呼天     风木之悲     风木含悲     鸟啼花怨     黯然销魂
,,Thành ngữ về khóc lóc,向隅而泣     哭哭啼啼     啼啼哭哭     如泣如诉     抽抽噎噎     抽抽搭搭     昼吟宵哭     杨朱泣岐     枕戈泣血     梨花带雨     椎心泣血     泣不可仰     涕泗交颐     牛农对泣     牛衣对泣     破涕为笑     行号卧泣     行号巷哭     见哭兴悲     饮恨吞声
,,Thành ngữ về sự thẫn thờ,如痴似醉     楞头楞脑     直眉瞪眼
,,Thành ngữ về sự kích động,"百感交集
感激涕零
慷慨悲歌
慷慨激昂
拍案叫绝
拍手称快
情不自禁
热血沸腾
心潮澎湃
心血来潮
欣喜若狂
兴高采烈
兴致勃勃
沾沾自喜"
,,Thành ngữ về nỗi hoài niệm,"触景生情
睹物思人
归心似箭
魂牵梦萦
即景生情
记忆犹新
见景生情
念念不忘
牵肠挂肚
秋水伊人
一日三秋
依依不舍
依依难舍
朝思暮想"
,,Thành ngữ về sự lưu luyến,"故土难离
老马恋栈
恋恋不舍
流连忘返
难舍难分
难舍难离
依依惜别"
,,Thành ngữ về nỗi trông mong,"梦寐以求
翘首企足
翘首以待
翘足引领
拭目以待
望眼欲穿
心往神驰
心向往之
引领企踵"
,,Thành ngữ về sự thất vọng,"悲观厌世
大失所望
槁木死灰
灰心丧气
万念俱灰
万念俱消
望尘莫及
望洋兴叹
心灰意懒
心如死灰
大失人望"
,,Thành ngữ về tức giận,不死不活     别开生面     勃然变色     半死半生     吹胡子瞪     眼喜怒无     常回嗔作     喜宜嗔宜     喜形槁心     灰心平气     和息怒停     瞋愤不平     拂袖而去     旭日初升     死样活气     活蹦乱跳     浓眉大眼     生龙活虎     百花争妍     肝胆欲碎     艴然不悦     负气含灵     转嗔为喜     鲜蹦活跳     大肆咆哮
,,Thành ngữ về nước mắt,一字一泪     不见棺材     不下泪     不见棺材     不落泪     催人泪下     凄然泪下     吞声忍泪     哭天抹泪     声泪俱下     愁眉泪眼     泪下如雨     泪如泉涌     泪如泉滴     泪如雨下     泪干肠断     泪流满面     泪眼汪汪     泪迸肠绝     涕泪交下     涕泪交加     涕泪交垂     涕泪交流     涕泪交集     涕泪交零     潸然泪下     热泪盈眶     老泪纵横     肚里泪下     血泪斑斑     血泪盈襟     鳄鱼眼泪
,,"Thành ngữ về sự hối tiếc, hối hận",九死不悔     九死未悔     亢极之悔     亢龙有悔     何必当初     后悔不及     后悔何及     后悔无及     后悔莫及     嗟悔亡及     嗟悔无及     噬脐何及     噬脐无及     噬脐莫及     恨相知晚     恨相见晚     悔不当初     悔之不及     悔之何及     悔之无及     悔之晚矣     悔之莫及     懊悔不及     懊悔无及     抱恨终天     搔耳捶胸     追悔莫及
,,Thành ngữ về tâm trạng,七拱八翘     万念俱灰     不紧不慢     人琴俱亡     人莫予毒     以日为年     低回不已     体贴入微     倚门倚闾     倚闾望切     凤狂龙躁     吐气扬眉     唾壶击缺     喜上眉梢     坐立不安     坐而待旦     夺眶而出     如释重负     娱心悦目     孜孜汲汲     安心乐意     寒毛卓竖     屏气慑息     屏气敛息     巴巴劫劫     平心定气     平心而论     平心静气     废然而反     开怀畅饮     归心似箭     归心如箭     徒乱人意     心宽体胖     心平气和     心广体胖     心潮澎湃     心焦如火     心焦如焚     心神不宁     怡情悦性     急杵捣心     悠然自得     悦目赏心     悲喜交集     悲欢离合     惊魂未定     惘然若失     愁多夜长     意懒心慵     感激不尽     抑郁寡欢     挂肚牵心     挖耳当招     捏一把汗     掀拳裸袖     搔首踟蹰     新亭对泣     春晖寸草     春风得意     望云之情     朽木死灰     柳泣花啼     槁木死灰     欣然自得     求贤如渴     泣血稽颡     满脸春风     满腹牢骚     满面红光     澹泊寡欲     灭此朝食     熏风解愠     爽心悦目     痛定思痛     痛快淋漓     百感交集     碧海青天     神清气爽     笑傲风月     肃然起敬     若释重负     茶饭无心     莼羹鲈脍     莼鲈之思     襟怀洒落     观望不前     语重心沉     谢天谢地     赏心乐事     赏心悦目     迁延观望     近乡情怯     迫不及待     闲情逸致     闷闷不乐     陶情适性     面如死灰     面若死灰     饮冰茹檗     鹤怨猿惊     黯然神伤
,,Thành ngữ về sự thư thái,"得意忘形
得意洋洋
如获至宝
如获至珍
逍遥自在
心安理得
心甘情愿
心旷神怡
心满意足
信马由缰
雄心勃勃
洋洋得意
怡然自得
自我陶醉"
,,Thành ngữ về sự trấn định,"安之若素
不露声色
处之泰然
从容不迫
见怪不怪
面不改色
平心静气
若无其事
泰然处之
泰然自若
心平气和
心如止水"
,,Thành ngữ về sự sợ hãi,"躭惊受怕
怛然失色
诚惶诚忍
怵目惊心
大吃一惊
大惊失色
大惊小怪
胆颤心惊
胆战心惊
惶忍不安
魂不附体
魂飞魄散
魂飞天外
惊魂不定
惊魂未定
惊恐万状
毛骨悚然
人心惶惶
失魂落魄
受宠若惊
谈虎色变
提心吊胆
望而却步
望而生畏
畏敌如虎
畏首畏尾
畏缩不前
闻风丧胆
心胆俱裂
心惊肉跳
一座皆惊
一座尽惊
战战兢兢
惴惴不安"
,,Thành ngữ về sự hoảng loạn,"耽惊受怕
不可终日
方寸已乱
慌不择路
魂不守舍
惊惶失措
局促不安
六神不安
六神无主
七上八落
七上八下
三心二意
神不守舍
手脚忙乱
手忙脚乱
手足无措
忐忑不安
忐忑不定
万箭攒心
心烦意乱
心慌意乱
心乱如麻
心神不定
心神不宁
心神恍惚
心绪不宁
心猿意马
张皇失措
坐立不安
坐卧不安
坐卧不宁"
,,Thành ngữ về nỗi lo âu,"耽惊受怕
殚精竭虑
担惊受怕
单忧极瘁
百思不得
百思不解
悲天悯人
长吁短叹
怅然若失
愁肠百结
愁眉不展
愁眉苦脸
殚精竭虑
多愁善感
后顾之忧
闷闷不乐
寝不安席
煞费苦心
因噎废食
庸人自扰
忧心忡忡
忧心如焚
展转反侧
辗转反侧
左思右想
"
,,Thành ngữ về sự đau khổ,"肝肠寸断
叫苦不迭
叫苦连天
苦不堪言
苦不可言
痛不欲生
痛心疾首
五内俱焚
五内如焚
心如刀割
有口难言
有苦难言
郁郁不乐
郁郁寡欢"
,,Thành ngữ về sự hoài nghi,"半信半疑
杯弓蛇影
草木皆兵
风声鹤唳
将信将疑
举棋不定
满腹狐疑
首鼠两端
疑神疑鬼
瞻前顾后"
,,Thành ngữ về sự do dự,"踟蹰不前
踌躇不前
裹足不前
柔茹寡断
犹豫不决
游移不定
欲罢不能"
,Thành ngữ về thái độ - tác phong,Thành ngữ về sự nhiệt tình,"宾至如归
不厌其烦
好善乐施
和蔼可亲
满腔热忱
体贴入微
问长问短
问寒问暖
无微不至
嘘寒问暖
有求必应
"
,,Thành ngữ về sự kiên định,"傲霜凌雪
坚定不移
坚韧不拔
坚贞不渝
破釜沉舟
旗帜鲜明
誓不罢休
誓不甘休
说一不二
死心塌地
心如铁石
一如既往
一言为定
毅然决然
至死不变
"
,,Thành ngữ về sự kiên trì,"百折不回
疴偻承蜩
鞠躬尽瘁
聚精会神
目不邪视
目不转睛
锲而不舍
全神贯注
始终不懈
想方设法
心无二用
责无旁贷
置之度外
专心一志
专心致志
"
,,Thành ngữ về lòng khoan dung,"不拘一格
大度豁达
大度汪洋
大度包容
淡然处之
高抬贵手
既往不咎
宽仁大度
菩萨心肠
情有可原
任劳任怨
妄言妄听
息事宁人
一笔勾消
一笔勾销
一团和气
一笑置之
以德报怨
"
,,Thành ngữ về sự lạnh nhạt,"不置可否
不加可否
不闻不问
见死不救
冷若冰霜
模棱两可
漠不关心
漠然置之
束之高阁
置身事外
置之不理
淡然处之"
,,Thành ngữ về sự khinh thường,"不屑一顾
嗤之以鼻
等闲视之
掉以轻心
付之一笑
满不在乎
漫不经心
"
,,Thành ngữ về thái độ quan sát,"隔岸观火
冷眼旁观
袖手旁观
作壁上观
"
,,Thành ngữ về sự chân thành,"诚心诚意
诚心正意
赤诚相见
光明正大
竭诚相待
襟怀坦白
精诚所加
精诚所至
开诚布公
实心实意
心口如一
真心诚意
真心实意
"
,,Thành ngữ về thái độ qua loa,"不了了之
得过且过
敷衍了事
敷衍塞责
临渴掘井
临阵磨枪
随波逐流
"
,,"Thành ngữ về sự phục tùng, tuân theo","俯首帖耳
唯命是从
唯唯诺诺
"
,,Thành ngữ về sự chuyên tâm,"尽力而为
尽心竭力
精耕细作
克尽厥职
克尽职守
三思而行
实事求是
事必躬亲
小心谨慎
小心翼翼
寻根究底
一板三眼
一板一眼
一丝不苟
一心一计
一心一意
有板有眼
正经八百
正经八摆
郑重其事
追根究底
"
,,Thành ngữ về sự cẩu thả,"草草了事
草营人命
草率从事
大而化之
潦草塞责
走马看花
"
,,Thành ngữ về sự phiến diện,"拔苗助长
闭门造车
感情用事
管见所及
管窥蠡测
管中窥豹
刻舟求剑
窥豹一斑
略见一斑
盲人摸象
盲人说象
偏听偏信
审已度人
守株待兔
守株伺免
无所顾忌
瞎子摸象
想人非非
一意孤行
以已度人
以貌取人
意气用事
囿于成见
囿于己见
自不量力
"
,,Thành ngữ về sự bất cẩn,"粗心大意
粗枝大叶
丢三落四
丢三忘四
"
,,Các thành ngữ khác về thái độ - tác phong,"标新立异
不甘寂寞
不拘小节
不可理喻
吹毛求疵
打退堂鼓
恩威并施
固执已见
囫囵吞枣
急功近利
静观默察
乐天知命
雷厉风行
离经叛道
毛手毛脚
毛遂自荐
扪心自间
明察暗访
冥顽不化
泥古不化
千叮万嘱
入乡随俗
死不改悔
无动于衷
心不在焉
遗世独立
游戏人间
招是揽非
招是惹非
争强好胜
自暴自弃
"
,Thành ngữ về thần thái,Thành ngữ về thần thái,"道骨仙风     不动声色     丰度翩翩     义形于色     从容自若     伸头缩颈     似醉如痴     低唱浅斟     咆哮如雷     大义凛然     大摇大摆     夷然自若     如痴如狂     如痴如醉     如醉如狂     如醉如痴     妄尘而拜     屏声息气     岸然道貌     形输色授     怆地呼天     怆天呼地     悠然自得     悠闲自在     意气自如     意气自若     戟指怒目     扼腕抵掌     扼腕长叹     投袂而起     搔头抓耳     搔头摸耳     望尘而拜     杀鸡抹脖     桃李精神     灰头土面     爽然若失     眄视指使     神清气朗     神清气爽     神清骨秀     老气横秋     舌挢不下     舌桥不下     舒眉展眼     行色匆匆     道貌岸然     雍容闲雅     雍容雅步     飘飘欲仙     高情逸态
八面威风     屏气凝神
不苟言笑
不言不语
馋涎欲滴
瞠目结舌
楚楚动人
道貌俨然
楚楚可怜
垂涎三尺
呆若木鸡
呆似木鸡
呆头呆脑
得意扬扬
低眉顾眼
抖擞精神
返老还童
风尘仆仆
怪模怪样
鬼头鬼脑
憨态可掬
和颜悦色
横眉立目
横眉竖眼
焕发青春
昏昏欲睡
挤眉弄眼
结舌瞠目
精神抖擞
精神焕发
精神恍惚
酒酣耳热
力不从心
力不能支
敛声屏气
眉飞色舞
眉开眼笑
面面相觑
目瞪口呆
目光炯炯
飘飘若仙
飘飘欲仙
仆仆风尘
千娇百媚
强打精神
容光焕发
如痴如醉
如有所失
如醉如痴
若有所失
傻头傻脑
神采奕奕
神魂颠倒
神气活现
神气十足
神色自若
神思恍惚
生机勃勃
生气勃勃
声色俱厉
失魂丧魄
惘然若失
嘻皮笑脸
仙风道骨
小鸟依人
心荡神迷
雄姿英发
哑然失笑
扬眉吐气
摇尾乞怜
一本正经
意气风发
英姿勃勃
英姿飒爽
悠然自得
有气没力
有气无力
欲言又止
贼头贼脑
朝气蓬勃
"
,Thành ngữ về đặc điểm,Thành ngữ về trí tuệ,七窍玲珑     七行俱下     万物之灵     上智下愚     下笔成文     予智予雄     人穷智短     伶牙俐齿     兰质蕙心     冥顽不灵     冰雪聪明     别具慧眼     剔透玲珑     千虑一失     卖乖弄俏     口齿伶俐     大巧若拙     好行小慧     小时了了     小黠大痴     弄巧成拙     慧心妙舌     慧心巧思     抓乖弄俏     投机取巧     敏而好学     敬谢不敏     明昭昏蒙     百伶百俐     目达耳通     福慧双修     秀外慧中     精明强干     精明能干     绝圣弃智     绝顶聪明     聪明一世     聪明伶俐     聪明正直     聪明睿智     聪明绝世     自作聪明     谨谢不敏     足智多谋     辨日炎凉     锦心绣肠     颖悟绝人     颖悟绝伦
,,Thành ngữ về sự ngu ngốc,上智下愚     不辨菽粟     不辨菽麦     不辩菽麦     人穷智短     以勤补拙     使愚使过     使贪使愚     傻头傻脑     千虑一得     厉世摩钝     吃力不讨     呆头呆脑     哀感顽艳     坌鸟先飞     大巧若拙     大智如愚     大智若愚     大辩若讷     将勤补拙     小黠大痴     庞然大物     心劳日拙     心拙口夯     愚不可及     愚昧无知     拙口笨腮     拙口钝腮     拙嘴笨腮     拙嘴笨舌     枉曲直凑     气壮如牛     泥足巨人     笨嘴笨舌     钝口拙腮     钝学累功     顿口拙腮     顿学累功     騃童钝夫
,"Thành ngữ về sức lực, lực lượng",Thành ngữ về sức mạnh,单丝不成线     一成一旅     一手一足     一木难支     一盘散沙     一臂之力     一言九鼎     三户亡秦     两虎相争     两虎相斗     九鼎大吕     人众胜天     人单势孤     人多势众     人强胜天     以卵击石     以卵投石     以夷伐夷     以夷制夷     以夷治夷     以弱制强     以弱胜强     以强胜弱     以沫相濡     以铢称镒     以镒称铢     伏虎降龙     众口熏天     众口铄金     众喣山动     众喣漂山     众喣飘山     众川赴海     众心如城     众心成城     众志成城     众虎同心     余勇可贾     借风使船     假力于人     全力以赴     养精蓄锐     再衰三竭     冢中枯骨     分化瓦解     分风劈流     力不从心     力不能及     力不能支     力不自胜     力均势敌     力屈计穷     力所能及     力殚财竭     势均力敌     势孤力薄     势穷力屈     势穷力竭     勾魂摄魄     十夫楺椎     南风不竞     卵石不敌     同心断金     呼风唤雨     唯力是视     回天之力     回天乏术     回天无力     回山倒海     回山转海     因人成事     地丑力敌     增砖添瓦     孤掌难鸣     孤立无助     孤立无援     射石饮羽     少气无力     尽力而为     山摇地动     工力悉敌     师直为壮     席卷八荒     席卷天下     异军突起     强弩之末     心余力绌     心长力短     悬河注火     成城断金     所向披靡     所向无敌     拔山举鼎     拘神遣将     招兵买马     招架不住     搅海翻江     攻无不克     旗鼓相当     无坚不摧     无拳无勇     无能为力     星火燎原     有心无力     有生力量     枯木朽株     殚智竭力     江翻海沸     河出伏流     法力无边     泰山压卵     海沸山摇     海沸山裂     海沸江翻     海沸河翻     海沸波翻     涓埃之力     添砖加瓦     燎原烈火     独木不林     独木难支     生聚教训     用心竭力     相呴以湿     相濡以沫     神工鬼力     移山倒海     移山填海     移山拔海     移山竭海     移山跨海     移山造海     穷日之力     竭尽全力     竭尽心力     绳锯木断     绵里薄材     绿林豪客     缚鸡之力     群威群胆     群策群力     羽毛未丰     羽翼已成     翻江倒海     翻江搅海     股肱之力     胫大于股     膝痒搔背     自不量力     自力更生     自坏长城     自树一帜     自顾不暇     螳臂当车     螳螂奋臂     螳螂拒辙     覆海移山     计尽力穷     计穷力尽     计穷力屈     计穷力竭     财匮力绌     财殚力尽     财殚力竭     贪天之功     身单力薄     载舟覆舟     重整旗鼓     量力而为     量力而行     量小力微     量才而为     量时度力     金石为开     闻风丧胆     闻风破胆     难鸣孤掌     靡坚不摧     顽廉懦立     驱羊攻虎     鼓衰力尽
,Thành ngữ về vẻ bề ngoài,Thành ngữ về vẻ bề ngoài,"一表人才     一表非凡     以貌取人     内峻外和     厚貌深情     外宽内深     外巧内嫉     心宽体胖     心广体胖     玉质金相     绵里藏针     虚有其表     鹰嘴鹞目
闭月羞花
彪形大汉
不修边幅
沉鱼落雁
赤身露体
大腹便便
淡妆浓抹
道貌岸然
肥头大耳
粉面含春
风流倜傥
骨瘦如柴
骨瘦如豺
汗流浃背
汗如雨下
皓齿明眸
鹤发童颜
虎背熊腰
虎体熊腰
环肥燕瘦
尖嘴猴腮
炯炯有神
岿然不动
烂醉如泥
老迈龙钟
雷打不动
龙钟老态
眉清目秀
面红耳赤
面黄肌瘦
面目可憎
面有菜色
明眸皓齿
暮气沉沉
披头散发
被发文身
翩若惊鸿
七扭八歪
其貌不扬
奇形怪状
乔装打扮
如花似玉
弱不禁风
身强力壮
睡眼惺忪
似玉如花
缩手缩脚
缩头缩脚
袒胸露臂
亭亭玉立
童颜鹤发
心广体胖
形如槁木
熊腰虎背
秀色可餐
风韵犹存
掩月羞花
衣冠楚楚
音容笑貌
油头粉面
正襟危坐
龇牙咧嘴
"
,Thành ngữ về các giác quan,Thành ngữ về cảm giác,"别有风味
不可思议
不知不觉
称心如意
趁心如意
春困秋乏
大惑不解
动人心弦
堕云雾中
隔世之感
回味无穷
昏头昏脑
昏头晕脑
浑浑噩噩
火烧火燎
津津有味
筋疲力尽
精疲力尽
扣人心弦
令人发指
令人起敬
令人神往
芒刺在背
茫然失措
蒙头转向
迷惑不解
莫名其妙
耐人寻味
难以置信
疲惫不堪
其味无穷
千辛万苦
切肤之痛
人言可畏
如堕云雾
如鲠在喉
如芒在背
如释重负
如坐针毡
身历其境
身临其境
遂心如意
天旋地转
为之一振
心力交瘁
心悦诚服
晕头转向
振奋人心
震撼人心
自惭形秽
自顾不暇
自愧不如"
,,Thành ngữ về tri giác,"不寒而栗
酣然人梦
胡思乱想
苦思冥想
麻痹大意
麻木不仁
沁人心脾"
,,Thành ngữ về thị giác,"不堪人目
大开眼界
登高望远
东张西望
洞若观火
刮目相待
光彩夺目
光色夺目
横眉冷对
火眼金睛
见所未见
历历可数
目不暇接
怒目而视
伤心惨目
赏心悦目
视而不见
熟视无睹
司空见惯
万目睽睽
雾里看花
先睹为快
眼花缭乱
一望无际
一览无余
有碍观瞻
有目共睹
有目共见
有眼如盲
有眼无晴
有眼无珠
众目睽睽
左顾右眄
左顾右盼
"
,,Thành ngữ về thính giác,"不堪人耳
耳聪目明
耳目一新
耳软心活
耳听八方
隔墙有耳
瞽旷之耳
危言耸听
震耳欲聋"
,,Các thành ngữ khác về giác quan,"格格不人
光怪陆离
尽如人意
乐不可支
妙不可言
忍无可忍
酸甜苦辣
无能为力
应接不暇"
